name,url,description,test_type,remote_testing,adaptive_irt,duration_minutes,skills_covered,skill_domains,assessment_category,job_roles,seniority_levels,assessment_focus,keywords
Mechanical Engineering (New),https://www.shl.com/products/product-catalog/view/mechanical-engineering-new/,"Multi-choice test that measures the conceptual knowledge of fluid and machine mechanics, thermodynamics, IC engines and manufacturing science.",K,Yes,No,7.0,"[""fluid and machine mechanics"", ""thermodynamics"", ""IC engines"", ""manufacturing science""]","[""engineering"", ""mechanics""]",Cognitive,"[""Mechanical Engineer"", ""Engineering Manager""]","[""Mid-level"", ""Senior""]",Conceptual knowledge,"[""mechanical engineering"", ""multi-choice"", ""test""]"
Mechatronics Engineering (New),https://www.shl.com/products/product-catalog/view/mechatronics-engineering-new/,"Multi-choice test that measures the knowledge related to basic mechatronics systems, components, sensors, feedback devices, control elements, actuators, computational elements and application of mechatronic systems.",K,Yes,No,19.0,[],[],Technical,[],[],mechatronics systems,"[""mechatronics"", ""multi-choice"", ""test""]"
Medical Terminology (New),https://www.shl.com/products/product-catalog/view/medical-terminology-new/,"Multi-choice test that measures the knowledge of different medical terms and abbreviations related to the human body, diseases and diagnosis.",K,Yes,No,3.0,[],[],Technical,[],[],medical terms,"[""medical"", ""terminology"", ""multi-choice"", ""test""]"
Metallurgical Engineering (New),https://www.shl.com/products/product-catalog/view/metallurgical-engineering-new/,"Multi-choice test that measures the knowledge of process metallurgy, industrial metallurgy and physical metallurgy.",K,Yes,No,10.0,[],[],Technical,[],[],process metallurgy,"[""metallurgy"", ""multi-choice"", ""test""]"
MFS 360 Enterprise Leadership Report,https://www.shl.com/products/product-catalog/view/mfs-360-enterprise-leadership-report/,,D,Yes,No,,[],[],,[],[],,[]
MFS 360 UCF Group Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-group-report/,"This report follows the standard layout of the 360 report but incorporates the average scores for a group of participants. The report can be generated for all participants on a project, or a dedicated group can be created in MFS for a group that includes participants across multiple projects. The report does not include the open questions even when they were part of the questionnaire. Developments tips are not available in this report.",D,Yes,No,,[],[],,[],[],,[]
MFS 360 UCF Performance Potential Dev Tips Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,"This report is more or less identical to the standard MFS report but with an additional section that looks at the performance versus the potential and plots the competencies on a four field grid to identify developed strengths, natural strengths, development need, or untapped potential. The report text has been updated to reflect the inclusion of the OPQ, and the potential is also shown in the competency summary part of the report. The OPQ scores that feed into this report will need to be uploaded into MFS using an upload sheet based on a score extract from SODA or TC. This particular example report also includes development tips which are an optional extra.",D,Yes,No,,[],[],,[],[],,[]
MFS 360 UCF Standard Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-standard-report/,"This is the default MFS report. It is based on the UCF20 competency model. The report will only show those scales that were selected as part of the questionnaire setup. The importance rating, open questions and multiple choice questions are optional parts of the questionnaire. Only if those parts were added to the questionnaire will they show in the report. Open and multiple Choice questions are of the clients’ own design. The example report here does not include developments tips, but those can be added if requested (see performance and potential report for examples of that).",D,Yes,No,,[],[],Cognitive,[],[],,[]
Micro Focus Unified Functional Testing (New),https://www.shl.com/products/product-catalog/view/micro-focus-unified-functional-testing-new/,Multi-choice test that measures the knowledge of automation testing using the QTP tool.,K,Yes,No,12.0,"[""automation testing"", ""QTP tool""]",[],Technical,[],[],knowledge,"[""Micro Focus"", ""Unified Functional Testing""]"
Microservices (New),https://www.shl.com/products/product-catalog/view/microservices-new/,"Multi-choice test that measures the knowledge of Microservices architecture, SOA, and Microservices patterns.",K,Yes,No,7.0,"[""Microservices architecture"", ""SOA"", ""Microservices patterns""]",[],Technical,[],[],knowledge,"[""Microservices"", ""SOA""]"
Microsoft Dynamics Development (New),https://www.shl.com/products/product-catalog/view/microsoft-dynamics-development-new/,"Multi-choice test that measures the knowledge of Microsoft Dynamics installation, sales process, service management, administration, configuration, entity model, workflows, dialogs, solutions, CRM web services and plugins.",K,Yes,No,9.0,"[""Microsoft Dynamics installation"", ""Microsoft Dynamics sales process"", ""Microsoft Dynamics service management"", ""Microsoft Dynamics administration"", ""Microsoft Dynamics configuration"", ""Microsoft Dynamics entity model"", ""Microsoft Dynamics workflows"", ""Microsoft Dynamics dialogs"", ""Microsoft Dynamics solutions"", ""Microsoft Dynamics CRM web services"", ""Microsoft Dynamics plugins""]","[""Software Development"", ""Business Process Management"", ""Customer Relationship Management""]",Technical,"[""Software Developer"", ""Business Analyst"", ""IT Project Manager""]","[""Junior"", ""Mid-level"", ""Senior""]",Microsoft Dynamics Development,"[""Microsoft Dynamics"", ""CRM"", ""Software Development""]"
Microsoft Excel 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-excel-365-essentials-new/,"The Microsoft Excel 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of MS Excel, and includes the following topics: Applying Formulas and Functions, Creating and Analyzing Data, Formatting Cells, Data, and Content, Managing Workbooks and Worksheets, Presenting Data Visually, Printing and Views, and Sharing, Maintaining, and Securing Workbooks.","K, S",Yes,No,30.0,"[""Applying Formulas and Functions"", ""Creating and Analyzing Data"", ""Formatting Cells"", ""Data and Content Management"", ""Managing Workbooks and Worksheets"", ""Presenting Data Visually"", ""Printing and Views"", ""Sharing and Securing Workbooks""]","[""Data Analysis"", ""Data Visualization"", ""Office Productivity""]",Technical,"[""Data Analyst"", ""Business Analyst"", ""Office Administrator""]","[""Junior"", ""Mid-level""]",Microsoft Excel 365 - Essentials,"[""Microsoft Excel"", ""Data Analysis"", ""Office Productivity""]"
Microsoft Excel 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-excel-365-new/,"The Microsoft Excel 365 simulation evaluates ability to perform certain operations in a simulated environment of MS Excel, and includes the following topics: Applying Formulas and Functions, Creating and Analyzing Data, Formatting Cells, Data, and Content, Managing Workbooks and Worksheets, Presenting Data Visually, Printing and Views, and Sharing, Maintaining, and Securing Workbooks.","K, S",Yes,No,35.0,"[""Applying Formulas and Functions"", ""Creating and Analyzing Data"", ""Formatting Cells"", ""Data and Content Management"", ""Managing Workbooks and Worksheets"", ""Presenting Data Visually"", ""Printing and Views"", ""Sharing and Securing Workbooks""]","[""Data Analysis"", ""Data Visualization"", ""Office Productivity""]",Technical,"[""Data Analyst"", ""Business Analyst"", ""Office Administrator""]","[""Junior"", ""Mid-level""]",Microsoft Excel 365,"[""Microsoft Excel"", ""Data Analysis"", ""Office Productivity""]"
Microsoft Outlook 2013 (adaptive),https://www.shl.com/products/product-catalog/view/microsoft-outlook-2013-adaptive/,"The Microsoft Outlook 2013 (adaptive) test measures knowledge of Microsoft Outlook 2013. Designed for professionals, this test includes the following topics: Application Management, Contacts and Address Books, Mail Management, Messages and Message Organization, Notes, Printing, Schedules and Calendars, Security, and Tasks.",K,Yes,Yes,25.0,"[""Application Management"", ""Contacts and Address Books"", ""Mail Management"", ""Messages and Message Organization"", ""Notes"", ""Printing"", ""Schedules and Calendars"", ""Security"", ""Tasks""]",[],Technical,[],[],Microsoft Outlook 2013,[]
Microsoft PowerPoint 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,"The Microsoft PowerPoint 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of Microsoft PowerPoint, and includes the following topics: Applying Transitions and Animations, Creating, Managing, and Saving Presentations, Formatting Presentation Content, Reviewing, Collaborating, and Delivering Presentations, and Working with Multimedia Elements, Images, and Illustrations.","K, S",Yes,No,25.0,"[""Applying Transitions and Animations"", ""Creating, Managing, and Saving Presentations"", ""Formatting Presentation Content"", ""Reviewing, Collaborating, and Delivering Presentations"", ""Working with Multimedia Elements, Images, and Illustrations""]",[],Technical,[],[],Microsoft PowerPoint 365 - Essentials,[]
Microsoft SQL Server 2014 Programming,https://www.shl.com/products/product-catalog/view/microsoft-sql-server-2014-programming/,"The Microsoft SQL Server 2014 Programming test measures knowledge of Microsoft Structure Query Language (SQL) Server 2014 Programming. Designed for experienced database programmers, this test covers the following topics: Beyond Relational, Control Flow, Data Types and NULL, Database Design, Developer Tools, Modifying Data, Running Queries, and Writing Queries.",K,Yes,Yes,35.0,"[""Beyond Relational"", ""Control Flow"", ""Data Types and NULL"", ""Database Design"", ""Developer Tools"", ""Modifying Data"", ""Running Queries"", ""Writing Queries""]",[],Technical,[],[],Microsoft SQL Server 2014 Programming,[]
Microsoft Windows Server 2012 Administration,https://www.shl.com/products/product-catalog/view/microsoft-windows-server-2012-administration/,"The Microsoft Windows Server 2012 Administration test measures knowledge of Windows Server Administration. Designed for experienced Network Administrators, this test includes the following topics: Active Directory, Administrative Tasks, Computer Properties, Configuration and Management, Design and Installation, Local Security Policy, Networking, Security, and Server Management.",K,Yes,Yes,35.0,"[""Windows Server Administration"", ""Active Directory"", ""Administrative Tasks"", ""Computer Properties"", ""Configuration and Management"", ""Design and Installation"", ""Local Security Policy"", ""Networking"", ""Security"", ""Server Management""]","[""IT"", ""Computer Science""]",Technical,"[""Network Administrator""]","[""Experienced""]",Windows Server Administration,"[""Microsoft Windows Server 2012"", ""Windows Server Administration"", ""Network Administrator""]"
Microsoft Word 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-essentials-new/,"The Microsoft Word 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of Microsoft Word, and includes the following topics: Applying Illustrations and Graphics, Applying Page Layout, Creating Content, Creating, Printing, and Saving Documents, Formatting Content, Proofreading Documents and Reviewing, Maintaining, and Securing Documents.","K, S",Yes,No,25.0,"[""Microsoft Word"", ""Illustrations and Graphics"", ""Page Layout"", ""Content Creation"", ""Document Formatting"", ""Proofreading"", ""Document Security""]","[""Office Software"", ""Computer Science""]",Technical,"[""Office Administrator""]","[""Entry-Level""]",Microsoft Word Essentials,"[""Microsoft Word 365"", ""Office Software"", ""Word Processing""]"
Microsoft Word 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-new/,"The Microsoft Word 365 simulation evaluates ability to perform certain operations in a simulated environment of Microsoft Word, and includes the following topics: Applying Illustrations and Graphics, Applying Page Layout, Creating Content, Creating, Printing, and Saving Documents, Formatting Content, Proofreading Documents and Reviewing, Maintaining, and Securing Documents.","S, K",Yes,No,35.0,"[""Microsoft Word"", ""Illustrations and Graphics"", ""Page Layout"", ""Content Creation"", ""Document Formatting"", ""Proofreading"", ""Document Security""]","[""Office Software"", ""Computer Science""]",Technical,"[""Office Administrator""]","[""Entry-Level""]",Microsoft Word,"[""Microsoft Word 365"", ""Office Software"", ""Word Processing""]"
Mineral Engineering (New),https://www.shl.com/products/product-catalog/view/mineral-engineering-new/,"Multi-choice test that measures the knowledge of comminution and classification, physical separation process, particle technology, metallurgical thermodynamics, mineralogy, petrology and stratigraphy.",K,Yes,No,12.0,"[""comminution"", ""classification"", ""physical separation process"", ""particle technology"", ""metallurgical thermodynamics"", ""mineralogy"", ""petrology"", ""stratigraphy""]","[""mining"", ""engineering""]",Technical,"[""mining engineer""]",[],knowledge,"[""mineral engineering"", ""mining methods"", ""mineral processing"", ""mining machinery""]"
Mining Engineering (New),https://www.shl.com/products/product-catalog/view/mining-engineering-new/,"Multi-choice test that measures the knowledge of mining methods, mineral processing, mining machinery, mineralogy, petrology and stratigraphy.",K,Yes,No,16.0,"[""mining methods"", ""mineral processing"", ""mining machinery"", ""mineralogy"", ""petrology"", ""stratigraphy""]","[""mining"", ""engineering""]",Technical,"[""mining engineer""]",[],knowledge,"[""mining methods"", ""mineral processing"", ""mining machinery""]"
Mobility (New),https://www.shl.com/products/product-catalog/view/mobility-new/,Multi-choice test that measures the knowledge on topics related to mobility and mobile computing.,K,Yes,No,9.0,"[""mobility"", ""mobile computing""]","[""computing""]",Technical,"[""software engineer""]",[],knowledge,"[""mobility"", ""mobile computing""]"
Molecular Biology (New),https://www.shl.com/products/product-catalog/view/molecular-biology-new/,"Multi-choice test that measures the knowledge of molecular genetics, transgenics, rDNA technology, chromosomal genetics, transformation and related processes.",K,Yes,No,6.0,"[""molecular genetics"", ""transgenics"", ""rDNA technology"", ""chromosomal genetics"", ""transformation""]","[""biology"", ""genetics""]",Technical,[],[],knowledge,"[""molecular biology"", ""genetics"", ""test""]"
MongoDB (New),https://www.shl.com/products/product-catalog/view/mongodb-new/,"Multi-choice test that measures the conceptual knowledge of MongoDB like sharding, replication, indexing, security and storage. It also checks the knowledge of MongoDB queries and data models.",K,Yes,No,7.0,"[""sharding"", ""replication"", ""indexing"", ""security"", ""storage""]","[""database"", ""mongodb""]",Technical,[],[],conceptual knowledge,"[""mongodb"", ""database"", ""test""]"
Motivation Questionnaire MQM5,https://www.shl.com/products/product-catalog/view/motivation-questionnaire-mqm5/,"By understanding what motivates their staff, managers can unlock each individual’s full potential and direct their energies more constructively. This questionnaire measures 18 dimensions of an individual’s motivation, and provides a comprehensive understanding of those situations which increase and reduce their motivation.",P,Yes,No,25.0,[],[],Behavioral,[],[],motivation,"[""motivation"", ""questionnaire""]"
MQ Candidate Motivation Report,https://www.shl.com/products/product-catalog/view/mq-candidate-motivation-report/,The Candidate Motivation Report is designed as a feedback report for the individual. It provides an in-depth and easy-to-understand evaluation of an individuals motivators and demotivators at work.,P,Yes,No,,[],[],Behavioral,[],[],Motivation,"[""motivation"", ""feedback"", ""evaluation""]"
MQ Employee Motivation Report,https://www.shl.com/products/product-catalog/view/mq-employee-motivation-report/,"The MQ Employee Motivation Report is ideal for use by line managers and those concerned with employee’s performance and well being, the Employee Motivation Report provides an in-depth and easy-to-understand evaluation of what motivates and de-motivates someone. It also offers a comprehensive list of tips and suggestions for managing the employee’s strongest motivators and demotivators.",P,Yes,No,,[],[],Behavioral,"[""line managers""]",[],Motivation,"[""motivation"", ""performance"", ""well-being""]"
MQ Motivation Report Pack,https://www.shl.com/products/product-catalog/view/mq-motivation-report-pack/,"The MQ Report pack consists of the Profile Chart, Employee Motivation Report and the Candidate Report and is a cost effective way of ensuring that your organisation takes a comprehensive approach to understanding what motivates its employees.",P,Yes,No,,[],[],Mixed,[],[],Motivation,"[""motivation"", ""profile"", ""report""]"
MQ Profile,https://www.shl.com/products/product-catalog/view/mq-profile/,"The profile chart is the Sten score graphical output of the MQ. It clearly shows the individual’s motivational drivers compared to the selected norm group as well as highlighting any unique scores. Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example. Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.",P,Yes,No,,[],[],,[],[],,[]
MS Access (New),https://www.shl.com/products/product-catalog/view/ms-access-new/,Multi-choice test that measures the knowledge and basic understanding of MS Access programming.,K,Yes,No,7.0,[],[],Technical,[],[],MS Access programming,"[""MS Access""]"
MS Excel (New),https://www.shl.com/products/product-catalog/view/ms-excel-new/,"Multi-choice test that measures the ability to use MS Excel to maintain, organize, analyze and present numeric data.",K,Yes,No,6.0,[],[],Technical,[],[],MS Excel,"[""MS Excel""]"
MS Office Basic Computer Literacy (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-new/,"Multi-choice test that measures the ability to use MS Word, MS Excel and MS PowerPoint to perform basic tasks on a computer.",K,Yes,No,7.0,"[""MS Word"", ""MS Excel"", ""MS PowerPoint""]",[],Technical,[],[],Basic Computer Literacy,"[""MS Office"", ""Computer Literacy""]"
MS Office Basic Computer Literacy (Sim) (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,"Simulation based test that measures the ability to use basic computer operations, browser navigation, MS office and email.",S,Yes,No,5.0,"[""Basic Computer Operations"", ""Browser Navigation"", ""MS Office"", ""Email""]",[],Technical,[],[],Basic Computer Literacy,"[""Simulation"", ""MS Office"", ""Computer Literacy""]"
MS PowerPoint (New),https://www.shl.com/products/product-catalog/view/ms-powerpoint-new/,"Multi-choice test that measures the knowledge of MS PowerPoint toolbars, slide layouts, animation, slideshow, slide designs and formats.",K,Yes,No,4.0,"[""MS PowerPoint Toolbars"", ""Slide Layouts"", ""Animation"", ""Slideshow"", ""Slide Designs"", ""Formats""]",[],Technical,[],[],MS PowerPoint,"[""MS PowerPoint""]"
MS Word (New),https://www.shl.com/products/product-catalog/view/ms-word-new/,Multi-choice test that measures the ability to use MS Word to record and save textual information.,K,Yes,No,4.0,"[""MS Word""]",[],Technical,[],[],MS Word usage,"[""MS Word"", ""multi-choice"", ""textual information""]"
MuleSoft Development (New),https://www.shl.com/products/product-catalog/view/mulesoft-development-new/,"Multi-choice test that measures the knowledge of MuleSoft basic concepts, APIs and web services, Mule flow and scope, connectors and deployment.",K,Yes,No,17.0,"[""MuleSoft"", ""APIs"", ""web services"", ""Mule flow"", ""connectors"", ""deployment""]",[],Technical,[],[],MuleSoft development,"[""MuleSoft"", ""APIs"", ""web services"", ""Mule flow"", ""connectors"", ""deployment""]"
Multitasking Ability,https://www.shl.com/products/product-catalog/view/multitasking-ability/,"The Multitasking Ability assessment is a measure of one’s ability to adeptly work on more than one task simultaneously, while maintaining efficiency and effectiveness when interrupted or switching between tasks. This test is a face-valid, split-screen simulation that is designed to assess multitasking ability. It captures the dynamic nature of the working environment by presenting the candidate with multiple types of items in a timed format. Candidates will be required to complete problem-solving items that are presented on one side of the screen, while at the same time attending to emails that are presented within an email inbox on the other side of the screen.","A, K, S",Yes,No,20.0,"[""Multitasking Ability""]",[],Behavioral,[],[],Multitasking Ability,"[""Multitasking Ability"", ""problem-solving"", ""timed format"", ""email inbox""]"
Networking and Implementation (New),https://www.shl.com/products/product-catalog/view/networking-and-implementation-new/,"Multi-choice test that measures the knowledge of networking devices, protocols, reference models, routing and implementation of networks.",K,Yes,No,7.0,"[""networking"", ""protocols"", ""routing"", ""implementation""]","[""Computer Science"", ""Networking""]",Technical,"[""Network Administrator"", ""Network Engineer""]","[""Intermediate""]",Knowledge,"[""networking"", ""implementation"", ""multi-choice""]"
Node.js (New),https://www.shl.com/products/product-catalog/view/node-js-new/,"Multi-choice test that measures the basic knowledge of Node.js such as events, streams, file system, error handling, concurrency, DB handling and express framework.",K,Yes,No,9.0,"[""Node.js"", ""events"", ""streams"", ""file system"", ""error handling""]","[""Computer Science"", ""Programming""]",Technical,"[""Software Developer"", ""Backend Developer""]","[""Junior""]",Knowledge,"[""Node.js"", ""javascript"", ""multi-choice""]"
Nursing (New),https://www.shl.com/products/product-catalog/view/nursing-new/,Multi-choice test that measures the knowledge of carrying out various nursing tasks.,K,Yes,No,11.0,"[""nursing tasks""]","[""Healthcare""]",Technical,"[""Nurse"", ""Healthcare Professional""]","[""Entry-level""]",Knowledge,"[""nursing"", ""healthcare"", ""multi-choice""]"
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,"The SHL Occupational Personality Questionnaire, the OPQ32, is one of the most widely used and respected measures of workplace behavioural style in the world. It sets a high standard of measurement excellence, providing HR professionals and business managers with relevant and accurate information to make fast and well-informed people decisions. The OPQ32 provides a clear framework for understanding the impact of personality on job performance. It is internationally recognised for its accuracy of assessment. Over 90 independent validation studies have been conducted on the OPQ over a period of 25 years, across 20 countries and 40 industries, providing concrete evidence of its power to predict performance in the workplace.",P,Yes,No,25.0,[],[],Behavioral,[],[],Personality,"[""OPQ32r"", ""SHL"", ""Occupational Personality Questionnaire""]"
Operations Management (New),https://www.shl.com/products/product-catalog/view/operations-management-new/,"Multi-choice test that measures the knowledge of planning, product design and development, quality management and supply chain management.",K,Yes,No,7.0,"[""planning"", ""product design"", ""quality management"", ""supply chain management""]","[""Operations Management""]",Technical,[],[],Knowledge,"[""Operations Management""]"
OPQ Candidate Plus Report,https://www.shl.com/products/product-catalog/view/opq-candidate-plus-report/,A brief narrative OPQ (Occupational Personality Questionnaire) report designed to be given to the individual who completed the OPQ.,P,Yes,No,,[],[],Behavioral,[],[],Personality,"[""OPQ"", ""Candidate Plus Report""]"
OPQ Candidate Report 2.0,https://www.shl.com/products/product-catalog/view/opq-candidate-report-2-0/,A brief narrative OPQ (Occupational Personality Questionnaire) report structure around 3 OPQ profile sections which can be given to candidates to keep after a feedback session,P,Yes,No,,[],[],Cognitive,[],[],Personality,"[""OPQ"", ""Occupational Personality Questionnaire""]"
OPQ Emotional Intelligence Report,https://www.shl.com/products/product-catalog/view/opq-emotional-intelligence-report/,This OPQ (Occupational Personality Questionnaire) report explores how a person manages feelings and relationships with other people. It is intended for use in a development setting.,P,Yes,No,,[],[],Cognitive,[],[],Emotional Intelligence,"[""OPQ"", ""Occupational Personality Questionnaire""]"
OPQ Leadership Report,https://www.shl.com/products/product-catalog/view/opq-leadership-report/,"This OPQ (Occupational Personality Questionnaire) report provides a detailed analysis of an individual's leadership potential. It is based on SHL's leading edge Leadership Model, providing a competency based approach to leadership.",P,Yes,No,,[],[],Cognitive,[],[],Leadership,"[""OPQ"", ""SHL"", ""Leadership Model""]"
OPQ Manager Plus Report,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report/,"This concise OPQ (Occupational Personality Questionnaire) report is designed for use with and by managers. It uses clear succinct bullets and tables for ease of interpretation. It provide simple comments on each of the personality traits. Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example. Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.",P,Yes,No,,[],[],Cognitive,[],[],Personality traits,"[""OPQ"", ""Occupational Personality Questionnaire"", ""Manager""]"
OPQ Manager Plus Report 2.0,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report-2-0/,This concise OPQ (Occupational Personality Questionnaire) report is designed for use with and by managers. It uses clear succinct bullets and tables for ease of interpretation. It provides simple comments on each of the personality traits.,P,Yes,No,,[],[],Cognitive,[],[],Personality traits,"[""OPQ"", ""Occupational Personality Questionnaire"", ""Manager""]"
OPQ Maximising your Learning Report,https://www.shl.com/products/product-catalog/view/opq-maximising-your-learning-report/,This OPQ (Occupational Personality Questionnaire) report is designed to help people get the most from their development. It summarises the preferred approach to learning across four dimensions.,P,Yes,No,,[],[],Cognitive,[],[],Learning approach,"[""OPQ"", ""Occupational Personality Questionnaire"", ""Learning""]"
OPQ MQ Sales Report,https://www.shl.com/products/product-catalog/view/opq-mq-sales-report/,"This OPQ (Occupational Personality Questionnaire) report provides a graphical and narrative summary of an individual's natural style that is critical to sales success. It can also, optionally, use input from the SHL Motivation Questionnaire (MQ) to add information about the sales motivators and drives of an individual. Note: updated versions of Turkish, Hungarian and Indonesian Sales Report were launched on 01 July 2013. Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example. Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.",P,Yes,No,,[],[],Behavioral,[],[],Personality,"[""OPQ"", ""Occupational Personality Questionnaire"", ""Sales""]"
OPQ Premium Plus Report,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report/,"This OPQ (Occupational Personality Questionnaire) report contains a selection of reports including OPQ profile, user report, manager plus report, candidate plus report, universal competency report, team impact selection report.",P,Yes,No,,[],[],Technical,[],[],Personality,"[""OPQ"", ""Occupational Personality Questionnaire""]"
OPQ Premium Plus Report 2.0,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report-2-0/,"This OPQ (Occupational Personality Questionnaire) report contains a selection of reports including OPQ profile, user report, manager plus report, candidate plus report, universal competency report, team impact selection report.",P,Yes,No,,[],[],Technical,[],[],Personality,"[""OPQ"", ""Occupational Personality Questionnaire""]"
OPQ Profile Report,https://www.shl.com/products/product-catalog/view/opq-profile-report/,"This is a graphical profile charts presenting results across the 32 OPQ scales. It is designed to be interpreted by OPQ trained users only. Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example. Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.",P,Yes,No,,[],[],Cognitive,[],[],,[]
OPQ Team Impact Group Development Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-group-development-report/,"These reports are based on the SHL Team Impact Model, which is focused on actual team processes. They are supported by clear and easy to understand graphics which do not require OPQ training. “IMPORTANT! Please note that for a sample report contact Managed Services"".",P,Yes,No,,[],[],Behavioral,[],[],,[]
OPQ Team Impact Individual Development Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-individual-development-report/,"These reports are based on the SHL Team Impact Model, which is focused on actual team processes. They are supported by clear and easy to understand graphics which do not require OPQ training.",P,Yes,No,,[],[],Behavioral,[],[],,[]
OPQ Team Impact Selection Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-selection-report/,"These reports are based on the SHL Team Impact Model, which is focused on actual team processes. They are supported by clear and easy to understand graphics which do not require OPQ training.",P,Yes,No,,[],[],Cognitive,[],[],Team Impact,"[""SHL Team Impact Model"", ""Team Processes""]"
OPQ Team Types & Leadership Styles Profile,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-profile/,This OPQ (Occupational Personality Questionnaire) report is based on Belbin's team types and Bass's leadership and reporting styles. Belbins team types: individual preferred role when working in ateam. Bass's leadership and reporting styles: individuals preferred leadership styles and likely style of behaviour as a direct report.,P,Yes,No,,[],[],Cognitive,[],[],Team Types and Leadership Styles,"[""Belbin's Team Types"", ""Bass's Leadership Styles""]"
OPQ Team Types and Leadership Styles Report,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-report/,This OPQ (Occupational Personality Questionnaire) report is based on Belbin's team types and Bass's leadership and reporting styles. Belbins team types: individual preferred role when working in ateam. Bass's leadership and reporting styles: individuals preferred leadership styles and likely style of behaviour as a direct report.,P,Yes,No,,[],[],Cognitive,[],[],Team Types and Leadership Styles,"[""Belbin's Team Types"", ""Bass's Leadership Styles""]"
OPQ UCF Development Action Planner Report 1.0,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report/,"This OPQ (Occupational Personality Questionnaire) report provides clear and relevant information about an individual's strengths and areas for development, for use in staff development and on-boarding situations. Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example. Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.",P,Yes,No,,[],[],Cognitive,[],[],Personality,"[""OPQ"", ""Occupational Personality Questionnaire"", ""staff development"", ""on-boarding""]"
OPQ UCF Development Action Planner Report 2.0,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report-2-0/,"This OPQ (Occupational Personality Questionnaire) report provides clear and relevant information about an individual's strengths and areas for development, for use in staff development and on-boarding situations.",P,Yes,No,,[],[],Cognitive,[],[],Personality,"[""OPQ"", ""Occupational Personality Questionnaire"", ""staff development"", ""on-boarding""]"
